season,game_id,week,is_home,opponent,points_scored,points_allowed,margin_of_victory,win,cumulative_points_scored_sum,cumulative_points_against_sum,cumulative_wins,cumulative_win_pct,cum_win_pct_rank_vs_league,turnovers_committed,turnovers_forced,turnover_differential,total_yards_gained,total_yards_allowed,cumulative_yards_gained_sum,cumulative_yards_allowed_sum,cumulative_yards_gained_per_game,cumulative_yards_allowed_per_game,cumulative_yards_gained_per_game_rank_vs_league,cumulative_yards_allowed_per_game_rank_vs_league,rush_yards_gained,rush_yards_allowed,cumulative_rush_yards_per_game,cumulative_rush_yards_allowed_per_game,cumulative_rush_yards_per_game_rank_vs_league,cumulative_rush_yards_allowed_per_game_rank_vs_league,pass_yards_gained,pass_yards_allowed,cumulative_pass_yards_sum,cumulative_pass_yards_allowed_sum,cumulative_pass_yards_per_game,cumulative_pass_yards_allowed_per_game,cumulative_pass_yards_per_game_rank_vs_league,cumulative_pass_yards_allowed_per_game_rank_vs_league,rz_td_pct,cumulative_rz_off_td_pct,rush_attempts,pass_attempts,total_tds,cumulative_turnover_differential,rush_tds,pass_tds
2020,2020_01_PHI_WAS,1,FALSE,WAS,17,27,-10,FALSE,17,27,0,0,17,3,0,-3,265,239,265,239,265,239,29,1,57,80,57,80,30,5,208,159,208,159,208,159,21,3,0.666666667,0.666666667,17,50,2,-3,0,2
2020,2020_02_LA_PHI,2,TRUE,LA,19,37,-18,FALSE,36,64,0,0,22,4,0,-4,363,449,628,688,314,344,28,9,121,191,89,135.5,29,22,242,258,450,417,225,208.5,23,5,0.5,0.571428571,27,43,2,-7,2,0
2020,2020_03_CIN_PHI,3,TRUE,CIN,23,23,0,FALSE,59,87,0,0,25,2,0,-2,378,304,1006,992,335.3333333,330.6666667,24,5,172,48,116.6666667,106.3333333,17,9,206,256,656,673,218.6666667,224.3333333,24,7,0.666666667,0.6,36,50,2,-9,1,1
2020,2020_04_PHI_SF,4,FALSE,SF,25,20,5,TRUE,84,107,1,0.25,17,1,3,2,269,417,1275,1409,318.75,352.25,26,9,93,116,110.75,108.75,17,11,176,301,832,974,208,243.5,25,16,0.666666667,0.615384615,28,32,2,-7,1,1
2020,2020_05_PHI_PIT,5,FALSE,PIT,29,38,-9,FALSE,113,145,1,0.2,19,2,1,-1,338,367,1613,1776,322.6,355.2,25,11,94,136,107.4,114.2,16,15,244,231,1076,1205,215.2,241,23,15,1,0.705882353,16,42,4,-8,2,2
2020,2020_06_BAL_PHI,6,TRUE,BAL,28,30,-2,FALSE,141,175,1,0.166666667,20,1,0,-1,368,355,1981,2131,330.1666667,355.1666667,23,16,194,182,121.8333333,125.5,12,17,174,173,1250,1378,208.3333333,229.6666667,21,12,0.6,0.681818182,20,48,4,-9,2,2
2020,2020_07_NYG_PHI,7,TRUE,NYG,22,21,1,TRUE,163,196,2,0.285714286,17,1,3,2,442,325,2423,2456,346.1428571,350.8571429,22,9,96,160,118.1428571,130.4285714,13,20,346,165,1596,1543,228,220.4285714,21,6,0.375,0.6,27,47,3,-7,1,2
2020,2020_08_DAL_PHI,8,TRUE,DAL,23,9,14,TRUE,186,205,3,0.375,17,4,2,-2,224,265,2647,2721,330.875,340.125,23,8,119,133,118.25,130.75,14,23,105,132,1701,1675,212.625,209.375,23,4,0.666666667,0.606060606,27,33,2,-9,0,2
2020,2020_10_PHI_NYG,10,FALSE,NYG,17,27,-10,FALSE,203,232,3,0.333333333,20,0,0,0,348,382,2995,3103,332.7777778,344.7777778,24,11,158,151,122.6666667,133,10,25,190,231,1891,1906,210.1111111,211.7777778,24,5,1,0.628571429,24,41,2,-9,2,0
2020,2020_11_PHI_CLE,11,FALSE,CLE,17,22,-5,FALSE,220,254,3,0.3,20,3,1,-2,315,324,3310,3427,331,342.7,24,8,106,137,121,133.4,12,22,209,187,2100,2093,210,209.3,25,5,0.5,0.615384615,25,40,3,-11,0,3
2020,2020_12_SEA_PHI,12,TRUE,SEA,17,23,-6,FALSE,237,277,3,0.272727273,27,1,0,-1,252,301,3562,3728,323.8181818,338.9090909,28,9,72,76,116.5454545,128.1818182,13,23,180,225,2280,2318,207.2727273,210.7272727,27,8,0.5,0.604651163,15,52,2,-12,0,2
2020,2020_13_PHI_GB,13,FALSE,GB,16,30,-14,FALSE,253,307,3,0.25,25,1,0,-1,278,437,3840,4165,320,347.0833333,27,12,117,149,116.5833333,129.9166667,14,23,161,288,2441,2606,203.4166667,217.1666667,26,7,1,0.613636364,25,34,1,-13,0,1
2020,2020_14_NO_PHI,14,TRUE,NO,24,21,3,TRUE,277,328,4,0.307692308,24,1,2,1,413,358,4253,4523,327.1538462,347.9230769,26,14,246,96,126.5384615,127.3076923,9,24,167,262,2608,2868,200.6153846,220.6153846,28,9,0.75,0.625,36,30,3,-12,2,1
2020,2020_15_PHI_ARI,15,FALSE,ARI,26,33,-7,FALSE,303,361,4,0.285714286,26,0,3,3,422,526,4675,5049,333.9285714,360.6428571,22,20,117,103,125.8571429,125.5714286,10,23,305,423,2913,3291,208.0714286,235.0714286,27,15,0.8,0.641509434,31,50,4,-9,1,3
2020,2020_16_PHI_DAL,16,FALSE,DAL,17,37,-20,FALSE,320,398,4,0.266666667,27,3,1,-2,477,513,5152,5562,343.4666667,370.8,22,21,151,151,127.5333333,127.2666667,9,24,326,362,3239,3653,215.9333333,243.5333333,27,20,0.4,0.620689655,29,42,2,-11,1,1
2020,2020_17_WAS_PHI,17,TRUE,WAS,14,20,-6,FALSE,334,418,4,0.25,27,3,2,-1,216,248,5368,5810,335.5,363.125,24,19,118,103,126.9375,125.75,9,23,98,145,3337,3798,208.5625,237.375,28,15,0.666666667,0.62295082,29,36,2,-12,2,0
2021,2021_01_PHI_ATL,1,FALSE,ATL,32,6,26,TRUE,32,6,1,1,1,0,0,0,436,260,436,260,436,260,6,7,175,124,175,124,2,19,261,136,261,136,261,136,16,2,0.8,0.8,32,36,4,0,1,3
2021,2021_02_SF_PHI,2,TRUE,SF,11,17,-6,FALSE,43,23,1,0.5,8,0,0,0,330,306,766,566,383,283,14,4,153,117,164,120.5,2,18,177,189,438,325,219,162.5,22,3,0.5,0.714285714,30,26,1,0,1,0
2021,2021_03_PHI_DAL,3,FALSE,DAL,21,41,-20,FALSE,64,64,1,0.333333333,17,2,1,-1,367,380,1133,946,377.6666667,315.3333333,16,7,64,160,130.6666667,133.6666667,5,26,303,220,741,545,247,181.6666667,15,5,1,0.777777778,12,41,3,-1,0,3
2021,2021_04_KC_PHI,4,TRUE,KC,30,42,-12,FALSE,94,106,1,0.25,21,0,1,1,461,471,1594,1417,398.5,354.25,8,14,103,200,123.75,150.25,9,31,358,271,1099,816,274.75,204,9,7,0.5,0.666666667,19,51,3,0,1,2
2021,2021_05_PHI_CAR,5,FALSE,CAR,21,18,3,TRUE,115,124,2,0.4,17,2,3,1,275,267,1869,1684,373.8,336.8,14,9,91,109,117.2,142,13,30,184,158,1283,974,256.6,194.8,12,3,0.5,0.631578947,22,40,2,1,2,0
2021,2021_06_TB_PHI,6,TRUE,TB,22,28,-6,FALSE,137,152,2,0.333333333,19,1,1,0,215,399,2084,2083,347.3333333,347.1666667,18,10,100,102,114.3333333,135.3333333,13,24,115,297,1398,1271,233,211.8333333,21,5,1,0.681818182,19,29,3,1,2,1
2021,2021_07_PHI_LV,7,FALSE,LV,22,33,-11,FALSE,159,185,2,0.285714286,19,2,1,-1,360,442,2444,2525,349.1428571,360.7142857,16,14,135,119,117.2857143,133,11,24,225,323,1623,1594,231.8571429,227.7142857,15,9,0.75,0.692307692,32,37,3,0,1,2
2021,2021_08_PHI_DET,8,FALSE,DET,44,6,38,TRUE,203,191,3,0.375,20,0,1,1,350,228,2794,2753,349.25,344.125,16,9,236,57,132.125,123.5,5,23,114,171,1737,1765,217.125,220.625,25,8,0.8,0.709677419,46,16,4,1,4,0
2021,2021_09_LAC_PHI,9,TRUE,LAC,24,27,-3,FALSE,227,218,3,0.333333333,22,0,0,0,331,447,3125,3200,347.2222222,355.5555556,15,14,176,89,137,119.6666667,6,18,155,358,1892,2123,210.2222222,235.8888889,24,12,0.75,0.714285714,39,18,3,1,2,1
2021,2021_10_PHI_DEN,10,FALSE,DEN,30,13,17,TRUE,257,231,4,0.4,22,1,1,0,386,308,3511,3508,351.1,350.8,15,13,216,96,144.9,117.3,3,19,170,212,2062,2335,206.2,233.5,25,12,0.5,0.692307692,39,25,2,1,0,2
2021,2021_11_NO_PHI,11,TRUE,NO,40,29,11,TRUE,297,260,5,0.454545455,19,1,3,2,380,323,3891,3831,353.7272727,348.2727273,15,11,242,109,153.7272727,116.5454545,2,19,138,214,2200,2549,200,231.7272727,27,11,0.6,0.681818182,50,27,3,3,3,0
2021,2021_12_PHI_NYG,12,FALSE,NYG,7,13,-6,FALSE,304,273,5,0.416666667,21,4,0,-4,332,264,4223,4095,351.9166667,341.25,16,10,208,70,158.25,112.6666667,1,15,124,194,2324,2743,193.6666667,228.5833333,28,10,0.333333333,0.659574468,33,32,1,-1,1,0
2021,2021_13_PHI_NYJ,13,FALSE,NYJ,33,18,15,TRUE,337,291,6,0.461538462,17,0,1,1,418,281,4641,4376,357,336.6153846,13,8,185,70,160.3076923,109.3846154,1,10,233,211,2557,2954,196.6923077,227.2307692,26,8,0.6,0.653846154,41,27,3,0,1,2
2021,2021_15_WAS_PHI,15,TRUE,WAS,27,17,10,TRUE,364,308,7,0.5,16,2,0,-2,519,237,5160,4613,368.5714286,329.5,11,11,238,63,165.8571429,106.0714286,1,10,281,174,2838,3128,202.7142857,223.4285714,24,11,0.5,0.637931034,41,29,3,-2,2,1
2021,2021_16_NYG_PHI,16,TRUE,NYG,34,10,24,TRUE,398,318,8,0.533333333,12,0,2,2,324,192,5484,4805,365.6,320.3333333,13,5,130,84,163.4666667,104.6,1,9,194,108,3032,3236,202.1333333,215.7333333,25,9,0.5,0.625,30,30,3,0,1,2
2021,2021_17_PHI_WAS,17,FALSE,WAS,20,16,4,TRUE,418,334,9,0.5625,11,0,1,1,330,312,5814,5117,363.375,319.8125,14,7,118,94,160.625,103.9375,1,7,212,218,3244,3454,202.75,215.875,22,11,1,0.636363636,34,27,2,1,2,0
2021,2021_18_DAL_PHI,18,TRUE,DAL,26,51,-25,FALSE,444,385,9,0.529411765,14,1,0,-1,315,475,6129,5592,360.5294118,328.9411765,14,10,149,171,159.9411765,107.8823529,1,9,166,304,3410,3758,200.5882353,221.0588235,25,11,0.75,0.642857143,33,38,3,0,1,2
2021,2021_19_PHI_TB,19,FALSE,TB,15,31,-16,FALSE,459,416,9,0.5,12,2,1,-1,341,349,6470,5941,359.4444444,330.0555556,9,4,95,106,156.3333333,107.7777778,1,5,246,243,3656,4001,203.1111111,222.2777778,12,5,1,0.652777778,17,46,2,-1,1,1
2022,2022_01_PHI_DET,1,FALSE,DET,38,35,3,TRUE,38,35,1,1,1,0,1,1,455,386,455,386,455,386,3,21,216,181,216,181,3,28,239,205,239,205,239,205,14,12,0.8,0.8,39,33,4,1,4,0
2022,2022_02_MIN_PHI,2,TRUE,MIN,24,7,17,TRUE,62,42,2,1,1,1,3,2,486,264,941,650,470.5,325,1,14,163,62,189.5,121.5,2,20,323,202,562,407,281,203.5,7,12,0.6,0.7,34,34,3,3,2,1
2022,2022_03_PHI_WAS,3,FALSE,WAS,24,8,16,TRUE,86,50,3,1,1,0,1,1,400,240,1341,890,447,296.6666667,1,5,72,87,150.3333333,110,7,16,328,153,890,560,296.6666667,186.6666667,3,6,0.6,0.666666667,30,38,3,4,0,3
2022,2022_04_JAX_PHI,4,TRUE,JAX,29,21,8,TRUE,115,71,4,1,1,1,5,4,401,219,1742,1109,435.5,277.25,2,3,210,71,165.25,100.25,5,9,191,148,1081,708,270.25,177,6,7,0.666666667,0.666666667,50,28,5,8,4,1
2022,2022_05_PHI_ARI,5,FALSE,ARI,20,17,3,TRUE,135,88,5,1,1,0,1,1,357,363,2099,1472,419.8,294.4,2,4,139,124,160,105,4,10,218,239,1299,947,259.8,189.4,7,5,0.5,0.64,33,38,2,9,2,0
2022,2022_06_DAL_PHI,6,TRUE,DAL,26,17,9,TRUE,161,105,6,1,1,0,3,3,268,315,2367,1787,394.5,297.8333333,2,4,136,134,156,109.8333333,5,13,132,181,1431,1128,238.5,188,10,6,0.75,0.655172414,40,29,3,12,1,2
2022,2022_08_PIT_PHI,8,TRUE,PIT,35,13,22,TRUE,196,118,7,1,1,0,2,2,401,302,2768,2089,395.4285714,298.4285714,2,4,111,144,149.5714286,114.7142857,6,14,290,158,1721,1286,245.8571429,183.7142857,8,4,1,0.705882353,20,33,5,14,1,4
2022,2022_09_PHI_HOU,9,FALSE,HOU,29,17,12,TRUE,225,135,8,1,1,1,2,1,362,303,3130,2392,391.25,299,3,1,145,168,149,121.375,4,18,217,135,1938,1421,242.25,177.625,9,2,1,0.736842105,32,31,4,15,2,2
2022,2022_10_WAS_PHI,10,TRUE,WAS,21,32,-11,FALSE,246,167,8,0.888888889,1,4,2,-2,264,330,3394,2722,377.1111111,302.4444444,4,3,94,152,142.8888889,124.7777778,5,16,170,178,2108,1599,234.2222222,177.6666667,10,2,1,0.756097561,20,27,4,13,1,3
2022,2022_11_PHI_IND,11,FALSE,IND,17,16,1,TRUE,263,183,9,0.9,1,2,1,-1,314,284,3708,3006,370.8,300.6,4,2,141,99,142.7,122.2,6,16,173,185,2281,1784,228.1,178.4,10,2,0.666666667,0.75,33,28,2,12,1,1
2022,2022_12_GB_PHI,12,TRUE,GB,40,33,7,TRUE,303,216,10,0.909090909,1,1,2,1,500,342,4208,3348,382.5454545,304.3636364,4,2,363,106,162.7272727,120.7272727,2,18,137,236,2418,2020,219.8181818,183.6363636,17,2,0.833333333,0.76,49,30,5,13,3,2
2022,2022_13_TEN_PHI,13,TRUE,TEN,35,10,25,TRUE,338,226,11,0.916666667,1,0,0,0,453,209,4661,3557,388.4166667,296.4166667,3,2,67,87,154.75,117.9166667,5,16,386,122,2804,2142,233.6666667,178.5,13,1,1,0.781818182,24,43,5,13,2,3
2022,2022_14_PHI_NYG,14,FALSE,NYG,48,22,26,TRUE,386,248,12,0.923076923,1,0,1,1,437,306,5098,3863,392.1538462,297.1538462,3,2,253,123,162.3076923,118.3076923,1,17,184,183,2988,2325,229.8461538,178.8461538,13,1,0.75,0.777777778,31,35,6,14,4,2
2022,2022_15_PHI_CHI,15,FALSE,CHI,25,20,5,TRUE,411,268,13,0.928571429,1,3,1,-2,423,248,5521,4111,394.3571429,293.6428571,3,2,114,157,158.8571429,121.0714286,4,19,309,91,3297,2416,235.5,172.5714286,11,1,0.6,0.764705882,34,38,3,12,3,0
2022,2022_16_PHI_DAL,16,FALSE,DAL,34,40,-6,FALSE,445,308,13,0.866666667,1,4,1,-3,442,419,5963,4530,397.5333333,302,3,2,87,115,154.0666667,120.6666667,4,18,355,304,3652,2720,243.4666667,181.3333333,9,1,0.6,0.753424658,29,40,3,9,1,2
2022,2022_17_NO_PHI,17,TRUE,NO,10,20,-10,FALSE,455,328,13,0.8125,1,1,1,0,313,313,6276,4843,392.25,302.6875,2,1,67,129,148.625,121.1875,5,16,246,184,3898,2904,243.625,181.5,7,1,1,0.756756757,15,38,2,9,0,2
2022,2022_18_NYG_PHI,18,TRUE,NYG,22,16,6,TRUE,477,344,14,0.823529412,1,1,0,-1,342,284,6618,5127,389.2941176,301.5882353,3,2,135,129,147.8235294,121.6470588,5,16,207,155,4105,3059,241.4705882,179.9411765,9,1,0.2,0.721518987,34,38,1,8,1,0
2022,2022_20_NYG_PHI,20,TRUE,NYG,38,7,31,TRUE,515,351,15,0.833333333,1,0,1,1,416,227,7034,5354,390.7777778,297.4444444,3,1,268,118,154.5,121.4444444,1,6,148,109,4253,3168,236.2777778,176,4,1,0.833333333,0.729411765,44,25,5,9,3,2
2022,2022_21_SF_PHI,21,TRUE,SF,31,7,24,TRUE,546,358,16,0.842105263,1,0,3,3,269,164,7303,5518,384.3684211,290.4210526,2,1,148,81,154.1578947,119.3157895,1,4,121,83,4374,3251,230.2105263,171.1052632,3,1,0.666666667,0.725274725,44,26,4,12,4,0
2022,2022_22_KC_PHI,22,TRUE,KC,35,38,-3,FALSE,581,396,16,0.8,2,1,0,-1,419,340,7722,5858,386.1,292.9,2,1,117,158,152.3,121.25,1,2,302,182,4676,3433,233.8,171.65,2,1,0.666666667,0.721649485,33,40,5,11,4,1
2023,2023_01_PHI_NE,1,FALSE,NE,25,20,5,TRUE,25,20,1,1,1,1,2,1,251,382,251,382,251,382,24,28,97,76,97,76,14,10,154,306,154,306,154,306,23,29,0.5,0.5,25,36,1,1,0,1
2023,2023_02_MIN_PHI,2,TRUE,MIN,34,28,6,TRUE,59,48,2,1,1,2,3,1,430,374,681,756,340.5,378,12,26,259,28,178,52,2,1,171,346,325,652,162.5,326,29,31,0.8,0.714285714,48,27,4,2,3,1
2023,2023_03_PHI_TB,3,FALSE,TB,25,11,14,TRUE,84,59,3,1,1,2,2,0,472,176,1153,932,384.3333333,310.6666667,6,12,201,41,185.6666667,48.33333333,2,1,271,135,596,787,198.6666667,262.3333333,23,26,0.285714286,0.5,40,38,2,2,1,1
2023,2023_04_WAS_PHI,4,TRUE,WAS,34,31,3,TRUE,118,90,4,1,1,0,0,0,417,365,1570,1297,392.5,324.25,5,16,106,107,165.75,63,2,2,311,258,907,1045,226.75,261.25,12,27,0.75,0.555555556,28,40,3,2,1,2
2023,2023_05_PHI_LA,5,FALSE,LA,23,14,9,TRUE,141,104,5,1,1,1,0,-1,454,249,2024,1546,404.8,309.2,2,9,159,54,164.4,61.2,2,1,295,195,1202,1240,240.4,248,9,23,0.285714286,0.48,39,39,2,1,1,1
2023,2023_06_PHI_NYJ,6,FALSE,NYJ,14,20,-6,FALSE,155,124,5,0.833333333,1,4,0,-4,348,246,2372,1792,395.3333333,298.6666667,2,9,80,89,150.3333333,65.83333333,2,2,268,157,1470,1397,245,232.8333333,9,19,0.666666667,0.5,22,47,2,-3,1,1
2023,2023_07_MIA_PHI,7,TRUE,MIA,31,17,14,TRUE,186,141,6,0.857142857,1,2,1,-1,355,244,2727,2036,389.5714286,290.8571429,3,5,99,45,143,62.85714286,4,1,256,199,1726,1596,246.5714286,228,8,14,0.666666667,0.529411765,34,34,5,-4,2,3
2023,2023_08_PHI_WAS,8,FALSE,WAS,38,31,7,TRUE,224,172,7,0.875,1,2,1,-1,374,472,3101,2508,387.625,313.5,3,8,59,84,132.5,65.5,7,1,315,388,2041,1984,255.125,248,7,26,0.714285714,0.56097561,22,40,5,-5,1,4
2023,2023_09_DAL_PHI,9,TRUE,DAL,28,23,5,TRUE,252,195,8,0.888888889,1,0,1,1,292,406,3393,2914,377,323.7777778,2,11,109,73,129.8888889,66.33333333,5,1,183,333,2224,2317,247.1111111,257.4444444,6,26,1,0.6,33,26,4,-4,2,2
